Clos-Bruneau (passage du);75005
Clotaire (rue);75005
Clotilde (rue);75005
Clovis (rue);75005
Cluny (rue de);75005
Cochin (rue);75005
Collégiale (rue de la);75005
Contrescarpe (place de la);75005
Cujas (rue);75005
Cuvier (rue);75005
Dante (rue);75005
Daubenton (rue);75005
Descartes (rue);75005
Dolomieu (rue);75005
Domat (rue);75005
Ecole-Polytechnique (rue de l');75005
Ecoles (rue des);75005
Ecosse (rue d');75005
Edouard-Quénu (rue);75005
Emile-Mâle (place);75005
Emir-Abdelkader (place de l');75005
Emmanuel-Levinas (place);75005
Epée-de-Bois (rue de l');75005
Erasme (rue);75005
Essai (rue de l');75005
Estrapade (place de l');75005
Estrapade (rue de l');75005
Fer-à-Moulin (rue du);75005
Feuillantines (rue des);75005
Flatters (rue);75005
Fossés-Saint-Bernard (rue des);75005
Fossés-Saint-Jacques (rue des);75005
Fossés-Saint-Marcel (rue des);75005
Fouarre (rue du);75005
Frédéric-Sauton (rue);75005
Fustel-de-Coulanges (rue);75005
Galande (rue);75005
Gay-Lussac (rue);75005
Geoffroy-Saint-Hilaire (rue);75005
Georges-Bernanos (avenue);75005
Georges-Desplas (rue);75005
Gobelins (avenue des)    ;75005
Gracieuse (rue);75005
Grands-Degrés (rue des);75005
Gril (rue du);75005
Guy-de-la-Brosse (rue);75005
Harpe (rue de la);75005
Haut-Pavé (rue du);75005
Henri-Barbusse (rue)    ;75005
Hôpital (boulevard de l')    ;75005
Hôtel-Colbert (rue de l');75005
Huchette (rue de la);75005
Irlandais (rue des);75005
Jacques-Henri-Lartigue (rue);75005
Jaillot (passage);75005
Jardin des Plantes;75005
Jean-Calvin (rue);75005
Jean-de-Beauvais (rue);75005
Jussieu (place);75005
Jussieu (rue);75005
Lacépède (rue);75005
Lagarde (rue);75005
Lagarde (square);75005
Lagrange (rue);75005
de Lanneau (rue);75005
Laplace (rue);75005
Laromiguière (rue);75005
Larrey (rue);75005
Latran (rue de);75005
Le Goff (rue);75005
Lhomond (rue);75005
Linné (rue);75005
Louis-Marin (place);75005
Louis-Thuillier (rue);75005
Lucien-Herr (place);75005
Lyonnais (rue des);75005
Maître-Albert (rue);75005
Malebranche (rue);75005
Malus (rue);75005
