Claude;Abbes
Edmond;Delfour
Célestin;Delmer
Jean;Deloffre
Joseph;Delvecchio
Gabriel De;Michèle
Julien;Denis
Serge;Denis
Victor;Denis
Maurice;Depaepe
René;Dereuddre
Marcel;Desailly
Didier;Deschamps
Jean;Desgranges
Pascal;Despeyroux
Fernand;Desrousseaux
Marcel;Desrousseaux
Denis;Devaux
Émilien;Devic
Jules;Dewaquez
Vikash;Dhorasoo
Jacques;Dhur
Laurent Di;Lorto
Éric Di;Meco
Fleury Di;Nallo
Raoul;Diagne
Abou;Diaby
Alou;Diarra
Lassana;Diarra
Marcel;Dib
Bernard;Diomède
Fabrice;Divert
Martin;Djetou
Jean;Djorkaeff
Youri;Djorkaeff
Jean-Pierre;Dogliani
Jean-Luc;Dogon
Stanislas;Dombeck
Raymond;Domenech
Jean-François;Domergue
Marcel;Domergue
Marcel;Domingo
René;Domingo
Yvon;Douis
André;Doye
Dominique;Dropsy
Julien Du;Rhéart
Jean;Dubly
Jules;Dubly
Raymond;Dubly
Albert;Dubreucq
Gustave;Dubus
Jean;Ducret
Robert;Dufour
Christophe;Dugarry
Pierre;Duhart
Charles;Dujardin
Michel;Dupoix
Maurice;Dupuis
Jean-Philippe;Durand
Raymond;Durand
Aimé;Durbec
Émile;Dusart
Raoul;Dutheil
Richard;Dutruel
Albert;Eloy
Albert;Emon
Daniel;Eon
Julien;Escudé
Vincent;Estève
Jean-Luc;Ettori
René;Eucher
Patrice;Évra
Jacques;Faivre
Rod;Fanni
Philippe;Fargeon
Gérard;Farison
Fernand;Faroux
Victor;Farvacques
Julien;Faubert
Paul;Faure
René;Fenouillère
Luis;Fernandez
Jean-Marc;Ferratge
Jean-Marc;Ferreri
Bruno;Ferrero
Jean-Michel;Ferri
René;Ferrier
Jean;Fidon
Émile;Fiévet
Adrien;Filez
Louis;Finot
Kader;Firoud
Mathieu;Flamini
Pierre;Flamion
Louis;Floch
Jacques;Foix
Just;Fontaine
Charles;Fosset
Laurent;Fournier
André;François
Raymond;François
Raymond;Frémont
André;Frey
Sébastien;Frey
Émile;Friess
Michel;Frutoso
Maxime;Fulgenzy
Roger;Gabet
Louis;Gabrillargues
Marcel;Galey
William;Gallas
Maurice;Gallay
Jean;Gallice
René;Gallice
Lucien;Gamblin
Kevin;Gameiro
Patrice;Garande
Rémi;Garde
René;Gardien
Bernard;Gardon
Georges;Garnier
Manuel;Garriga
Maurice;Gastiger
Jean;Gautheroux
Franck;Gava
Albert;Gemmrich
Bernard;Genghini
René;Gérard
Bruno;Germain
Charles;Géronimi
Georges;Géronimi
Lazare;Gianessi
André-Pierre;Gignac
Raymond;Gigot
Nicolas;Gillet
Alfred;Gindrat
David;Ginola
René;Girard
Alain;Giresse
Olivier;Giroud
Ludovic;Giuly
Gaël;Givet
Léon;Glovacki
Jérôme;Gnako
Alain;Goma
Bafétimbi;Gomis
Maxime;Gonalons
Philippe;Gondet
Joseph;Gonzales
Désiré;Gosselin
Raymond;Gouin
Yvon;Goujon
Yoann;Gourcuff
Sidney;Govou
Dario;Grava
Xavier;Gravelaine
Maurice;Gravelines
Ernest;Gravier
Jean;Grégoire
Clément;Grenier
Gilbert;Gress
Raoul;Gressier
Pierre;Grillet
André;Grillon
Ernest;Gross
Jean;Grumellon
Ernest;Guéguen
Henri;Guérin
Vincent;Guérin
Henri;Guerre
Maurice;Guichard
Josuha;Guilavogui
Roland;Guillas
Jean-Marc;Guillou
Stéphane;Guivarc'h
André;Guy
Edmond;Haan
Gabriel;Hanot
Gérard;Hausser
Jean;Hédiart
Charles;Heine
Oscar;Heisserer
Laurent;Henric
Thierry;Henry
Yves;Herbet
Robert;Herbin
François;Heutte
Pierrick;Hiard
Michel;Hidalgo
Rodolphe;Hiden
Henri;Hiltl
Victor;Hitzel
Guillaume;Hoarau
Paul;Hoenen
Henri;Holgard
Louis;Hon
Daniel;Horlaville
Pierre;Hornus
Georges;Houyvet
Jean-Noël;Huck
François;Hugues
Guy;Huguet
Léon;Huot
André;Hurtevent
Abderrahman;Ibrir
Gérard;Isbecque
René;Jacolliot
André;Jacowski
Michel;Jacques
Aimé;Jacquet
Joseph;Jadrejak
Christophe;Jallet
Georges;Janin
Gérard;Janvion
Lucien;Jasseron
Philippe;Jeannol
Albert;Jenicot
Jean-François;Jodar
Robert;Jonquet
Auguste;Jordan
Albert;Jourda
Étienne;Jourde
Albert;Jouve
Roger;Jouve
Robert;Joyaut
Félix;Julien
Franck;Jurietti
Younès;Kaboul
Raymond;Kaelbel
Olivier;Kapo
Christian;Karembeu
Édouard;Kargu
Sylvain;Kastendeuch
Joseph;Kaucsar
Marcel;Kauffmann
Curt;Keller
Fritz;Keller
Marc;Keller
René;Kenner
Raymond;Keruzoré
Jacques;Koczur
Raymond;Kopa
Geoffrey;Kondogbia
Désiré;Koranyi
Pierre;Korb
Laurent;Koscielny
Ignace;Kowalczyk
Casimir;Koza
Richard;Krawczyk
Jean-Pierre;Kress
Bernard;Lacombe
Alexandre;Lacazette
Maurice;Lafont
Abel;Lafouge
Pierre;Laigle
Bernard;Lama
Georges;Lamia
Sabri;Lamouchi
Roger;Lamy
Mickaël;Landreau
Eugène;Langenove
Marcel;Langiller
Jean-François;Larios
Jean-Michel;Larqué
Lilian;Laslandes
Jean;Laurent
Lucien;Laurent
Thierry;Laurey
Michel;Lauri
Jean-Claude;Lavaud
Gilbert Le;Chenadec
Paul Le;Guen
Yvon Le;Roux
Michel;Leblond
Frank;Lebœuf
Georges;Lech
Jean;Lechantre
Patrice;Lecornu
Lucien;Leduc
Maxime;Lehmann
Robert;Lemaître
Roger;Lemerre
Jean-Claude;Lemoult
Bernard;Lenoble
André;Lerond
Émile;Lesmann
Henri;Lesur
Lucien;Letailleur
Lionel;Letizi
Edmond;Leveugle
Marceau;Lherminé
Ernest;Libérati
Guillaume;Lieb
Pierre;Lienert
Noël;Liétaer
André;Liminana
Bixente;Lizarazu
René;Llense
Hugo;Lloris
Patrice;Loko
Marcel;Loncle
Christian;Lopez
Charly;Loubet
Jean;Loubière
Xercès;Louis
Antonin;Lozès
Jean;Luciano
François;Ludo
Peguy;Luyindula
Édouard;Macquart
Mickaël;Madar
Eugène;Maës
Khennane;Mahi
Abderrahman;Mahjoub
Philippe;Mahut
Jacques;Mairesse
Claude;Makélélé
Florent;Malouda
Steve;Mandanda
